,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-01,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-03-02,6,0,0,0,6,6,3,0,0,0,3,3.0
2020-03-03,11,0,0,0,11,11,5,0,0,0,5,5.0
2020-03-04,26,0,0,0,26,26,15,0,0,0,15,15.0
2020-03-05,34,0,0,0,34,34,8,0,0,0,8,8.0
2020-03-06,43,0,0,0,43,43,9,0,0,0,9,9.0
2020-03-07,50,0,0,0,50,50,7,0,0,0,7,7.0
2020-03-08,50,0,0,0,50,50,0,0,0,0,0,0.0
2020-03-09,58,0,0,1,57,58,8,0,0,1,7,8.0
2020-03-10,69,0,1,2,67,68,11,0,1,1,10,10.0
2020-03-11,85,0,1,3,82,84,16,0,0,1,15,16.0
2020-03-12,103,0,1,4,99,102,18,0,0,1,17,18.0
2020-03-13,134,0,1,6,128,133,31,0,0,2,29,31.0
2020-03-14,156,0,1,8,148,155,22,0,0,2,20,22.0
2020-03-15,171,5,8,10,156,158,15,5,7,2,8,3.0
2020-03-16,180,0,0,13,167,180,9,-5,-8,3,11,22.0
2020-03-17,220,1,0,16,203,219,40,1,0,3,36,39.0
2020-03-18,250,1,5,20,229,244,30,0,5,4,26,25.0
2020-03-19,330,1,5,25,304,324,80,0,0,5,75,80.0
2020-03-20,409,0,5,30,379,404,79,-1,0,5,75,80.0
2020-03-21,473,1,22,36,436,450,64,1,17,6,57,46.0
2020-03-22,568,1,36,43,524,531,95,0,14,7,88,81.0
2020-03-23,588,1,36,51,536,551,20,0,0,8,12,20.0
2020-03-24,648,2,51,60,586,595,60,1,15,9,50,44.0
2020-03-25,737,2,56,70,665,679,89,0,5,10,79,84.0
2020-03-26,802,2,82,81,719,718,65,0,26,11,54,39.0
2020-03-27,890,2,97,93,795,791,88,0,15,12,76,73.0
2020-03-28,963,2,114,106,855,847,73,0,17,13,60,56.0
