,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-01-23,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-01-24,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-01-25,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-26,3,0,0,0,3,3,1,0,0,0,1,1.0
2020-01-27,4,0,0,0,4,4,1,0,0,0,1,1.0
2020-01-28,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-29,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-30,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-01-31,11,0,0,0,11,11,7,0,0,0,7,7.0
2020-02-01,12,0,0,0,12,12,1,0,0,0,1,1.0
2020-02-02,15,0,0,0,15,15,3,0,0,0,3,3.0
2020-02-03,15,0,0,0,15,15,0,0,0,0,0,0.0
2020-02-04,16,0,0,0,16,16,1,0,0,0,1,1.0
2020-02-05,19,0,0,0,19,19,3,0,0,0,3,3.0
2020-02-06,23,0,0,0,23,23,4,0,0,0,4,4.0
2020-02-07,24,0,1,0,24,23,1,0,1,0,1,0.0
2020-02-08,24,0,1,0,24,23,0,0,0,0,0,0.0
2020-02-09,25,0,3,0,25,22,1,0,2,0,1,-1.0
2020-02-10,27,0,3,0,27,24,2,0,0,0,2,2.0
2020-02-11,28,0,3,1,27,25,1,0,0,1,0,1.0
2020-02-12,28,0,7,2,26,21,0,0,4,1,-1,-4.0
2020-02-13,28,0,7,3,25,21,0,0,0,1,-1,0.0
2020-02-14,28,0,7,5,23,21,0,0,0,2,-2,0.0
2020-02-15,28,0,9,7,21,19,0,0,2,2,-2,-2.0
2020-02-16,29,0,9,10,19,20,1,0,0,3,-2,1.0
2020-02-17,30,0,10,14,16,20,1,0,1,4,-3,0.0
2020-02-18,31,0,12,19,12,19,1,0,2,5,-4,-1.0
2020-02-19,31,0,12,25,6,19,0,0,0,6,-6,0.0
2020-02-20,104,1,16,32,71,87,73,1,4,7,65,68.0
2020-02-21,204,2,16,41,161,186,100,1,0,9,90,99.0
2020-02-22,433,2,16,52,379,415,229,0,0,11,218,229.0
2020-02-23,602,6,18,65,531,578,169,4,2,13,152,163.0
2020-02-24,833,8,18,81,744,807,231,2,0,16,213,229.0
2020-02-25,977,10,22,100,867,945,144,2,4,19,123,138.0
2020-02-26,1261,12,22,122,1127,1227,284,2,0,22,260,282.0
2020-02-27,1766,13,22,148,1605,1731,505,1,0,26,478,504.0
2020-02-28,2337,13,22,178,2146,2302,571,0,0,30,541,571.0
2020-02-29,3150,16,27,213,2921,3107,813,3,5,35,775,805.0
2020-03-01,3736,17,30,254,3465,3689,586,1,3,41,544,582.0
2020-03-02,4335,28,30,301,4006,4277,599,11,0,47,541,588.0
2020-03-03,5186,28,30,355,4803,5128,851,0,0,54,797,851.0
2020-03-04,5621,35,41,417,5169,5545,435,7,11,62,366,417.0
2020-03-05,6088,35,41,487,5566,6012,467,0,0,70,397,467.0
2020-03-06,6593,42,135,566,5985,6416,505,7,94,79,419,404.0
2020-03-07,7041,44,135,655,6342,6862,448,2,0,89,357,446.0
2020-03-08,7314,50,118,754,6510,7146,273,6,-17,99,168,284.0
2020-03-09,7478,53,118,864,6561,7307,164,3,0,110,51,161.0
2020-03-10,7513,54,247,985,6474,7212,35,1,129,121,-87,-95.0
2020-03-11,7755,60,288,1117,6578,7407,242,6,41,132,104,195.0
2020-03-12,7869,66,333,1261,6542,7470,114,6,45,144,-36,63.0
2020-03-13,7979,66,510,1417,6496,7403,110,0,177,156,-46,-67.0
2020-03-14,8086,72,510,1585,6429,7504,107,6,0,168,-67,101.0
2020-03-15,8162,75,510,1765,6322,7577,76,3,0,180,-107,73.0
2020-03-16,8236,75,1137,1956,6205,7024,74,0,627,191,-117,-553.0
2020-03-17,8320,81,1407,2158,6081,6832,84,6,270,202,-124,-192.0
2020-03-18,8413,84,1540,2371,5958,6789,93,3,133,213,-123,-43.0
2020-03-19,8565,91,1540,2593,5881,6934,152,7,0,222,-77,145.0
2020-03-20,8652,94,1540,2824,5734,7018,87,3,0,231,-147,84.0
2020-03-21,8799,102,1540,3063,5634,7157,147,8,0,239,-100,139.0
2020-03-22,8961,111,2909,3309,5541,5941,162,9,1369,246,-93,-1216.0
2020-03-23,8961,111,2909,3561,5289,5941,0,0,0,252,-252,0.0
2020-03-24,9037,120,3507,3817,5100,5410,76,9,598,256,-189,-531.0
2020-03-25,9137,126,3730,4076,4935,5281,100,6,223,259,-165,-129.0
2020-03-26,9241,131,4144,4337,4773,4966,104,5,414,261,-162,-315.0
2020-03-27,9332,139,4528,4598,4595,4665,91,8,384,261,-178,-301.0
2020-03-28,9478,144,4811,4858,4476,4523,146,5,283,260,-119,-142.0
