,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,2,0,0,0,2,2,2,0,0,0,2,2.0
2020-01-24,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-25,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-26,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-27,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-28,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-29,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-30,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-01-31,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-02-01,6,0,1,0,6,5,4,0,1,0,4,3.0
2020-02-02,6,0,1,0,6,5,0,0,0,0,0,0.0
2020-02-03,8,0,1,0,8,7,2,0,0,0,2,2.0
2020-02-04,8,0,1,0,8,7,0,0,0,0,0,0.0
2020-02-05,8,0,1,0,8,7,0,0,0,0,0,0.0
2020-02-06,10,0,1,0,10,9,2,0,0,0,2,2.0
2020-02-07,10,0,1,0,10,9,0,0,0,0,0,0.0
2020-02-08,13,0,1,0,13,12,3,0,0,0,3,3.0
2020-02-09,13,0,1,0,13,12,0,0,0,0,0,0.0
2020-02-10,14,0,1,0,14,13,1,0,0,0,1,1.0
2020-02-11,15,0,6,0,15,9,1,0,5,0,1,-4.0
2020-02-12,15,0,6,0,15,9,0,0,0,0,0,0.0
2020-02-13,16,0,7,0,16,9,1,0,1,0,1,0.0
2020-02-14,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-15,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-16,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-17,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-18,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-19,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-20,16,0,7,0,16,9,0,0,0,0,0,0.0
2020-02-21,16,0,14,0,16,2,0,0,7,0,0,-7.0
2020-02-22,16,0,14,0,16,2,0,0,0,0,0,0.0
2020-02-23,16,0,14,0,16,2,0,0,0,0,0,0.0
2020-02-24,16,0,14,0,16,2,0,0,0,0,0,0.0
2020-02-25,16,0,16,0,16,0,0,0,2,0,0,-2.0
2020-02-26,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-02-27,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-02-28,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-02-29,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-01,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-02,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-03,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-04,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-05,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-06,16,0,16,0,16,0,0,0,0,0,0,0.0
2020-03-07,18,0,16,0,18,2,2,0,0,0,2,2.0
2020-03-08,30,0,16,0,30,14,12,0,0,0,12,12.0
2020-03-09,30,0,16,0,30,14,0,0,0,0,0,0.0
2020-03-10,31,0,16,0,31,15,1,0,0,0,1,1.0
2020-03-11,38,0,16,0,38,22,7,0,0,0,7,7.0
2020-03-12,39,0,16,0,39,23,1,0,0,0,1,1.0
2020-03-13,47,0,16,0,47,31,8,0,0,0,8,8.0
2020-03-14,53,0,16,0,53,37,6,0,0,0,6,6.0
2020-03-15,56,0,16,0,56,40,3,0,0,0,3,3.0
2020-03-16,61,0,16,0,61,45,5,0,0,0,5,5.0
2020-03-17,66,0,16,0,66,50,5,0,0,0,5,5.0
2020-03-18,75,0,16,0,75,59,9,0,0,0,9,9.0
2020-03-19,85,0,16,1,84,69,10,0,0,1,9,10.0
2020-03-20,91,0,16,2,89,75,6,0,0,1,5,6.0
2020-03-21,94,0,17,3,91,77,3,0,1,1,2,2.0
2020-03-22,113,0,17,4,109,96,19,0,0,1,18,19.0
2020-03-23,123,0,17,5,118,106,10,0,0,1,9,10.0
2020-03-24,134,0,17,6,128,117,11,0,0,1,10,11.0
2020-03-25,141,0,17,7,134,124,7,0,0,1,6,7.0
2020-03-26,153,0,20,9,144,133,12,0,3,2,10,9.0
2020-03-27,163,0,20,11,152,143,10,0,0,2,8,10.0
2020-03-28,174,0,21,13,161,153,11,0,1,2,9,10.0
