,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-08,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-09,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-10,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-11,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-12,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-13,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-14,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-15,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-16,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-17,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-18,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-19,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-20,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-21,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-22,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-23,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-24,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-25,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-26,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-02-27,7,0,0,0,7,7,5,0,0,0,5,5.0
2020-02-28,7,0,0,0,7,7,0,0,0,0,0,0.0
2020-02-29,12,0,0,0,12,12,5,0,0,0,5,5.0
2020-03-01,14,0,0,1,13,14,2,0,0,1,1,2.0
2020-03-02,15,0,0,2,13,15,1,0,0,1,0,1.0
2020-03-03,21,0,0,3,18,21,6,0,0,1,5,6.0
2020-03-04,35,0,0,4,31,35,14,0,0,1,13,14.0
2020-03-05,94,0,0,6,88,94,59,0,0,2,57,59.0
2020-03-06,101,0,0,8,93,101,7,0,0,2,5,7.0
2020-03-07,161,0,0,11,150,161,60,0,0,3,57,60.0
2020-03-08,203,0,0,15,188,203,42,0,0,4,38,42.0
2020-03-09,248,0,1,19,229,247,45,0,1,4,41,44.0
2020-03-10,355,0,1,24,331,354,107,0,0,5,102,107.0
2020-03-11,500,1,1,30,469,498,145,1,0,6,138,144.0
2020-03-12,599,1,1,38,560,597,99,0,0,8,91,99.0
2020-03-13,814,1,1,47,766,812,215,0,0,9,206,215.0
2020-03-14,961,2,1,57,902,958,147,1,0,10,136,146.0
2020-03-15,1022,3,1,69,950,1018,61,1,0,12,48,60.0
2020-03-16,1103,6,1,83,1014,1096,81,3,0,14,64,78.0
2020-03-17,1190,7,1,99,1084,1182,87,1,0,16,70,86.0
2020-03-18,1279,10,1,117,1152,1268,89,3,0,18,68,86.0
2020-03-19,1439,11,16,138,1290,1412,160,1,15,21,138,144.0
2020-03-20,1639,16,16,162,1461,1607,200,5,0,24,171,195.0
2020-03-21,1763,20,16,189,1554,1727,124,4,0,27,93,120.0
2020-03-22,1934,21,16,219,1694,1897,171,1,0,30,140,170.0
2020-03-23,2046,25,16,252,1769,2005,112,4,0,33,75,108.0
2020-03-24,2286,36,16,289,1961,2234,240,11,0,37,192,229.0
2020-03-25,2526,62,16,329,2135,2448,240,26,0,40,174,214.0
2020-03-26,2840,77,16,373,2390,2747,314,15,0,44,255,299.0
2020-03-27,3069,105,16,421,2543,2948,229,28,0,48,153,201.0
2020-03-28,3447,105,16,473,2869,3326,378,0,0,52,326,378.0
