,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-08,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-09,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-10,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-11,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-03-12,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-13,6,0,0,0,6,6,3,0,0,0,3,3.0
2020-03-14,8,0,0,0,8,8,2,0,0,0,2,2.0
2020-03-15,12,0,1,0,12,11,4,0,1,0,4,3.0
2020-03-16,17,0,1,0,17,16,5,0,0,0,5,5.0
2020-03-17,25,0,1,0,25,24,8,0,0,0,8,8.0
2020-03-18,27,0,1,0,27,26,2,0,0,0,2,2.0
2020-03-19,36,0,1,1,35,35,9,0,0,1,8,9.0
2020-03-20,49,0,1,2,47,48,13,0,0,1,12,13.0
2020-03-21,83,1,1,3,79,81,34,1,0,1,32,33.0
2020-03-22,143,1,1,4,138,141,60,0,0,1,59,60.0
2020-03-23,179,1,1,5,173,177,36,0,0,1,35,36.0
2020-03-24,209,2,1,7,200,206,30,1,0,2,27,29.0
2020-03-25,274,4,1,9,261,269,65,2,0,2,61,63.0
2020-03-26,299,4,1,11,284,294,25,0,0,2,23,25.0
2020-03-27,358,5,1,14,339,352,59,1,0,3,55,58.0
2020-03-28,394,7,1,17,370,386,36,2,0,3,31,34.0
