,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-27,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-28,3,0,0,0,3,3,2,0,0,0,2,2.0
2020-02-29,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-01,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-02,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-03,3,0,0,0,3,3,0,0,0,0,0,0.0
2020-03-04,4,0,1,0,4,3,1,0,1,0,1,0.0
2020-03-05,6,0,1,0,6,5,2,0,0,0,2,2.0
2020-03-06,9,0,1,0,9,8,3,0,0,0,3,3.0
2020-03-07,9,0,3,0,9,6,0,0,2,0,0,-2.0
2020-03-08,15,0,3,0,15,12,6,0,0,0,6,6.0
2020-03-09,15,0,3,0,15,12,0,0,0,0,0,0.0
2020-03-10,25,0,3,0,25,22,10,0,0,0,10,10.0
2020-03-11,45,0,6,1,44,39,20,0,3,1,19,17.0
2020-03-12,49,0,6,2,47,43,4,0,0,1,3,4.0
2020-03-13,89,0,7,3,86,82,40,0,1,1,39,39.0
2020-03-14,123,0,9,5,118,114,34,0,2,2,32,32.0
2020-03-15,131,0,9,7,124,122,8,0,0,2,6,8.0
2020-03-16,158,0,9,9,149,149,27,0,0,2,25,27.0
2020-03-17,184,0,16,12,172,168,26,0,7,3,23,19.0
2020-03-18,260,0,19,16,244,241,76,0,3,4,72,73.0
2020-03-19,277,0,25,20,257,252,17,0,6,4,13,11.0
2020-03-20,308,0,25,25,283,283,31,0,0,5,26,31.0
2020-03-21,367,0,52,31,336,315,59,0,27,6,53,32.0
2020-03-22,433,3,64,38,392,366,66,3,12,7,56,51.0
2020-03-23,576,7,64,46,523,505,143,4,0,8,131,139.0
2020-03-24,794,11,79,55,728,704,218,4,15,9,205,199.0
2020-03-25,906,17,86,65,824,803,112,6,7,10,96,99.0
2020-03-26,1029,23,94,77,929,912,123,6,8,12,105,109.0
2020-03-27,1292,26,115,90,1176,1151,263,3,21,13,247,239.0
2020-03-28,1452,37,139,105,1310,1276,160,11,24,15,134,125.0
