,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-28,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-29,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-01,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-03,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-04,2,0,0,0,2,2,0,0,0,0,0,0.0
2020-03-05,3,0,0,0,3,3,1,0,0,0,1,1.0
2020-03-06,10,0,0,0,10,10,7,0,0,0,7,7.0
2020-03-07,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-03-08,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-03-09,10,0,0,0,10,10,0,0,0,0,0,0.0
2020-03-10,12,0,0,0,12,12,2,0,0,0,2,2.0
2020-03-11,16,0,0,0,16,16,4,0,0,0,4,4.0
2020-03-12,16,0,0,1,15,16,0,0,0,1,-1,0.0
2020-03-13,79,0,0,2,77,79,63,0,0,1,62,63.0
2020-03-14,115,0,0,3,112,115,36,0,0,1,35,36.0
2020-03-15,171,0,1,4,167,170,56,0,1,1,55,55.0
2020-03-16,205,0,1,6,199,204,34,0,0,2,32,34.0
2020-03-17,225,0,1,8,217,224,20,0,0,2,18,20.0
2020-03-18,258,0,1,10,248,257,33,0,0,2,31,33.0
2020-03-19,267,0,1,13,254,266,9,0,0,3,6,9.0
2020-03-20,283,0,1,16,267,282,16,0,0,3,13,16.0
2020-03-21,306,0,1,20,286,305,23,0,0,4,19,23.0
2020-03-22,326,0,2,24,302,324,20,0,1,4,16,19.0
2020-03-23,352,0,2,29,323,350,26,0,0,5,21,26.0
2020-03-24,369,0,7,34,335,362,17,0,5,5,12,12.0
2020-03-25,404,1,8,40,363,395,35,1,1,6,28,33.0
2020-03-26,538,1,8,47,490,529,134,0,0,7,127,134.0
2020-03-27,575,1,11,55,519,563,37,0,3,8,29,34.0
2020-03-28,645,1,20,63,581,624,70,0,9,8,62,61.0
