,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-03,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-05,5,0,0,0,5,5,4,0,0,0,4,4.0
2020-03-06,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-07,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-08,11,0,0,0,11,11,6,0,0,0,6,6.0
2020-03-09,15,0,0,0,15,15,4,0,0,0,4,4.0
2020-03-10,20,0,1,0,20,19,5,0,1,0,5,4.0
2020-03-11,21,0,1,1,20,20,1,0,0,1,0,1.0
2020-03-12,45,0,1,2,43,44,24,0,0,1,23,24.0
2020-03-13,86,0,1,3,83,85,41,0,0,1,40,41.0
2020-03-14,103,0,1,4,99,102,17,0,0,1,16,17.0
2020-03-15,103,0,1,6,97,102,0,0,0,2,-2,0.0
2020-03-16,118,0,2,8,110,116,15,0,1,2,13,14.0
2020-03-17,171,0,6,11,160,165,53,0,4,3,50,49.0
2020-03-18,171,0,6,14,157,165,0,0,0,3,-3,0.0
2020-03-19,274,0,6,18,256,268,103,0,0,4,99,103.0
2020-03-20,344,0,8,22,322,336,70,0,2,4,66,68.0
2020-03-21,392,0,16,27,365,376,48,0,8,5,43,40.0
2020-03-22,511,0,16,33,478,495,119,0,0,6,113,119.0
2020-03-23,562,0,16,40,522,546,51,0,0,7,44,51.0
2020-03-24,767,1,28,48,718,738,205,1,12,8,196,192.0
2020-03-25,900,2,29,57,841,869,133,1,1,9,123,131.0
2020-03-26,1012,3,33,68,941,976,112,1,4,11,100,107.0
2020-03-27,1104,3,35,80,1021,1066,92,0,2,12,80,90.0
2020-03-28,1203,4,37,93,1106,1162,99,1,2,13,85,96.0
