,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-04,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-03-06,5,0,0,0,5,5,4,0,0,0,4,4.0
2020-03-07,5,0,0,0,5,5,0,0,0,0,0,0.0
2020-03-08,11,0,0,0,11,11,6,0,0,0,6,6.0
2020-03-09,16,0,0,0,16,16,5,0,0,0,5,5.0
2020-03-10,22,0,0,1,21,22,6,0,0,1,5,6.0
2020-03-11,31,0,0,2,29,31,9,0,0,1,8,9.0
2020-03-12,49,1,0,3,45,48,18,1,0,1,16,17.0
2020-03-13,68,2,0,4,62,66,19,1,0,1,17,18.0
2020-03-14,103,3,0,6,94,100,35,1,0,2,32,34.0
2020-03-15,119,3,0,8,108,116,16,0,0,2,14,16.0
2020-03-16,177,4,13,11,162,160,58,1,13,3,54,44.0
2020-03-17,238,5,13,14,219,220,61,1,0,3,57,60.0
2020-03-18,251,5,13,18,228,233,13,0,0,4,9,13.0
2020-03-19,355,5,1,23,327,349,104,0,-12,5,99,116.0
2020-03-20,425,5,1,29,391,419,70,0,0,6,64,70.0
2020-03-21,536,5,1,36,495,530,111,0,0,7,104,111.0
2020-03-22,634,7,1,44,583,626,98,2,0,8,88,96.0
2020-03-23,749,8,1,53,688,740,115,1,0,9,105,114.0
2020-03-24,901,10,1,64,827,890,152,2,0,11,139,150.0
2020-03-25,1051,14,7,76,961,1030,150,4,6,12,134,140.0
2020-03-26,1221,16,7,90,1115,1198,170,2,0,14,154,168.0
2020-03-27,1389,16,7,106,1267,1366,168,0,0,16,152,168.0
2020-03-28,1638,18,7,123,1497,1613,249,2,0,17,230,247.0
