,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-05,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-06,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-07,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-08,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-09,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-10,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-11,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-12,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-13,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-14,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-15,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-16,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-17,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-18,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-19,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-20,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-21,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-03-02,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-03-03,2,0,0,0,2,2,1,0,0,0,1,1.0
2020-03-04,4,0,0,0,4,4,2,0,0,0,2,2.0
2020-03-05,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-06,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-07,4,0,0,0,4,4,0,0,0,0,0,0.0
2020-03-08,4,0,1,0,4,3,0,0,1,0,0,-1.0
2020-03-09,4,0,1,0,4,3,0,0,0,0,0,0.0
2020-03-10,4,0,1,0,4,3,0,0,0,0,0,0.0
2020-03-11,4,0,1,0,4,3,0,0,0,0,0,0.0
2020-03-12,4,0,1,0,4,3,0,0,0,0,0,0.0
2020-03-13,10,0,1,0,10,9,6,0,0,0,6,6.0
2020-03-14,10,0,1,0,10,9,0,0,0,0,0,0.0
2020-03-15,24,0,1,0,24,23,14,0,0,0,14,14.0
2020-03-16,24,0,2,0,24,22,0,0,1,0,0,-1.0
2020-03-17,26,0,2,0,26,24,2,0,0,0,2,2.0
2020-03-18,31,0,2,0,31,29,5,0,0,0,5,5.0
2020-03-19,31,0,2,0,31,29,0,0,0,0,0,0.0
2020-03-20,38,0,2,0,38,36,7,0,0,0,7,7.0
2020-03-21,47,0,5,0,47,42,9,0,3,0,9,6.0
2020-03-22,67,0,5,0,67,62,20,0,0,0,20,20.0
2020-03-23,79,0,5,0,79,74,12,0,0,0,12,12.0
2020-03-24,86,0,8,1,85,78,7,0,3,1,6,4.0
2020-03-25,99,0,9,2,97,90,13,0,1,1,12,12.0
2020-03-26,105,0,9,3,102,96,6,0,0,1,5,6.0
2020-03-27,119,0,11,4,115,108,14,0,2,1,13,12.0
2020-03-28,130,0,18,5,125,112,11,0,7,1,10,4.0
