,Total Confirmed,Total Deaths,Total Recovered_Old,Total Recovered,Total Active,Total Active_Old,Change in Confirmed,Change in Deaths,Change in Recovered_Old,Change in Recovered,Change in Active,Change in Active_Old
2020-01-22,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-23,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-24,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-25,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-26,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-27,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-28,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-29,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-30,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-01-31,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-01,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-02,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-03,0,0,0,0,0,0,0,0,0,0,0,0.0
2020-02-04,1,0,0,0,1,1,1,0,0,0,1,1.0
2020-02-05,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-06,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-07,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-08,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-09,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-10,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-11,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-12,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-13,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-14,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-15,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-16,1,0,0,0,1,1,0,0,0,0,0,0.0
2020-02-17,1,0,1,0,1,0,0,0,1,0,0,-1.0
2020-02-18,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-19,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-20,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-21,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-22,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-23,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-24,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-25,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-26,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-27,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-28,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-02-29,1,0,1,0,1,0,0,0,0,0,0,0.0
2020-03-01,2,0,1,0,2,1,1,0,0,0,1,1.0
2020-03-02,8,0,1,1,7,7,6,0,0,1,5,6.0
2020-03-03,13,0,1,2,11,12,5,0,0,1,4,5.0
2020-03-04,23,0,1,3,20,22,10,0,0,1,9,10.0
2020-03-05,50,0,1,5,45,49,27,0,0,2,25,27.0
2020-03-06,109,0,1,7,102,108,59,0,0,2,57,59.0
2020-03-07,169,0,1,10,159,168,60,0,0,3,57,60.0
2020-03-08,200,0,1,14,186,199,31,0,0,4,27,31.0
2020-03-09,239,0,1,19,220,238,39,0,0,5,34,39.0
2020-03-10,267,0,1,25,242,266,28,0,0,6,22,28.0
2020-03-11,314,3,1,32,279,310,47,3,0,7,37,44.0
2020-03-12,314,3,1,41,270,310,0,0,0,9,-9,0.0
2020-03-13,559,3,1,52,504,555,245,0,0,11,234,245.0
2020-03-14,689,4,1,65,620,684,130,1,0,13,116,129.0
2020-03-15,886,4,1,81,801,881,197,0,0,16,181,197.0
2020-03-16,1058,5,1,100,953,1052,172,1,0,19,152,171.0
2020-03-17,1243,10,1,122,1111,1232,185,5,0,22,158,180.0
2020-03-18,1486,14,31,148,1324,1441,243,4,30,26,213,209.0
2020-03-19,1795,21,31,178,1596,1743,309,7,0,30,272,302.0
2020-03-20,2257,37,1,213,2007,2219,462,16,-30,35,411,476.0
2020-03-21,2815,67,263,253,2495,2485,558,30,262,40,488,266.0
2020-03-22,3401,75,263,299,3027,3063,586,8,0,46,532,578.0
2020-03-23,3743,88,263,352,3303,3392,342,13,0,53,276,329.0
2020-03-24,4269,122,461,413,3734,3686,526,34,198,61,431,294.0
2020-03-25,4937,178,547,482,4277,4212,668,56,86,69,543,526.0
2020-03-26,6235,220,675,560,5455,5340,1298,42,128,78,1178,1128.0
2020-03-27,7284,289,858,647,6348,6137,1049,69,183,87,893,797.0
2020-03-28,9134,353,1063,744,8037,7718,1850,64,205,97,1689,1581.0
