Country,2020-01-22,2020-01-23,2020-01-24,2020-01-25,2020-01-26,2020-01-27,2020-01-28,2020-01-29,2020-01-30,2020-01-31,2020-02-01,2020-02-02,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-08,2020-02-09,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11,2020-04-12,2020-04-13,2020-04-14,2020-04-15,2020-04-16,2020-04-17,2020-04-18,2020-04-19,2020-04-20
AD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12732189506019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13.12732189506019,13.12732189506019,-13.12732189506019,0.0,13.12732189506019,485.710910117227,0.0,183.78250653084265,288.80108169132416,170.65518463578246,315.05572548144454,262.5464379012038,406.94697874686585,315.05572548144454,446.3289444320464,564.474841487588,538.2201976974677,301.9284035863843,328.1830473765047,26.25464379012038,157.52786274072227,485.710910117227,52.50928758024076,275.673759796264,380.69233495674547,210.03715032096304,144.40054084566208,65.63660947530094,144.40054084566208,52.50928758024076,0.0,-301.9284035863843,105.01857516048152,144.40054084566208,-380.69233495674547,0.0,-13.12732189506019,-78.76393137036114,-288.80108169132416,0.0
AE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42552535093873556,0.0,0.0,0.0,0.10638133773468389,0.0,0.0,0.0,0.0,0.0,0.21276267546936778,0.0,0.10638133773468389,0.0,-0.10638133773468389,0.0,0.0,-0.21276267546936778,0.0,0.0,0.0,0.0,0.0,0.0,0.42552535093873556,0.0,0.0,0.0,0.0,0.0,0.5319066886734194,0.21276267546936778,0.0,0.0,0.6382880264081033,0.0,0.21276267546936778,0.0,1.4893387282855743,0.0,0.0,2.5531521056324133,-0.5319066886734194,1.1701947150815226,0.0,0.0,0.7446693641427872,0.0,0.0,1.2765760528162067,2.3403894301630452,-0.21276267546936778,0.6382880264081033,0.0,4.787160198060775,4.574397522591407,8.297744343305343,0.0,7.65945631689724,6.702024277285084,10.106227084794968,3.82972815844862,5.531829562203562,15.744437984733215,18.61673410356968,24.14856366577324,23.723038314834508,29.254867877038066,26.91447844687502,27.97829182422186,26.276190420466918,31.914401320405165,23.191131626161088,21.489030222406146,31.16973195626238,23.723038314834508,34.89307877697632,34.68031610150694,42.233391080669506,40.63767101464924,0.0,40.10576432597583,0.0
AF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0286198066749231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0858594200247693,0.0,0.0286198066749231,0.0572396133498462,0.0,0.0,0.1144792266996924,0.1430990333746155,0.1144792266996924,0.0286198066749231,0.0,0.0,0.0572396133498462,0.0,0.42929710012384653,0.0,0.9730734269473854,0.2289584533993848,0.2289584533993848,0.4579169067987696,0.0,0.286198066749231,1.4309903337461551,0.0286198066749231,1.8030478205201552,0.8299743935727699,0.2289584533993848,0.4865367134736927,1.2878913003715395,0.3148178734241541,1.5168497537709242,0.286198066749231,1.0303130402972316,1.0589328469721546,0.8872140069226161,1.4882299470960012,1.5740893671207705,1.116172460322001,1.8602874338700013,1.144792266996924,0.6010159401733851,0.4006772934489234,1.173412073671847,0.0
AG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.802768301768419,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.605536603536837,0.0,0.0,39.211073207073674,0.0,0.0,0.0,0.0,0.0,0.0,19.605536603536837,58.816609810610515,0.0,0.0,0.0,29.408304905305258,-9.802768301768419,0.0,0.0,19.605536603536837,0.0,19.605536603536837,-29.408304905305258,0.0,-9.802768301768419,0.0,0.0,0.0,0.0
AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6622058274775023,2.6488233099100094,0.33110291373875117,3.642132051126263,3.311029137387512,1.655514568693756,1.3244116549550047,2.9799262236487607,1.3244116549550047,0.9933087412162536,1.655514568693756,1.9866174824325071,1.3244116549550047,4.304337878603765,4.304337878603765,3.311029137387512,5.297646619820019,8.939778670946282,-1.3244116549550047,2.9799262236487607,4.304337878603765,-0.33110291373875117,2.6488233099100094,0.33110291373875117,2.6488233099100094,4.304337878603765,5.297646619820019,7.615367015991277,0.9933087412162536,-3.311029137387512,-1.9866174824325071,-0.9933087412162536,-3.311029137387512,0.6622058274775023,-2.3177203961712585,1.9866174824325071,-2.9799262236487607,4.966543706081268,-0.9933087412162536,4.966543706081268,-3.311029137387512,0.6622058274775023,0.0
AM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34124451875991746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0237335562797523,1.3649780750396698,3.412445187599174,2.7299561500793397,8.872357487757853,8.531112968997936,2.0474671125595045,10.57858008155744,7.166134893958265,8.189868450238018,11.261069119077275,13.991025269156614,0.6824890375198349,4.777423262638844,7.5073794127181825,9.896091044037606,25.934583425753722,5.118667781398762,19.79218208807521,17.062225937995873,12.626047194116945,29.688273132112815,21.4984046818748,11.602313637837193,12.967291712876861,1.706222593799587,-1.706222593799587,0.0,5.118667781398762,1.0237335562797523,1.706222593799587,7.5073794127181825,3.7536897063590913,-9.554846525277688,3.7536897063590913,-4.777423262638844,-1.0237335562797523,-25.593338906993804,7.166134893958265,3.7536897063590913
AO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.033574856300454405,0.033574856300454405,0.0,0.033574856300454405,0.0,0.0,0.033574856300454405,0.0,0.033574856300454405,0.0,0.0,-0.033574856300454405,0.033574856300454405,0.0,0.0,0.033574856300454405,0.13429942520181762,0.06714971260090881,0.033574856300454405,0.06714971260090881,0.0,0.0,-0.06714971260090881,0.0,0.0,-0.033574856300454405,0.0,0.0,0.0,0.13429942520181762,0.0,0.0
AR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02225252917796131,0.0,0.0,0.02225252917796131,0.13351517506776786,0.06675758753388393,0.0,0.11126264588980654,0.04450505835592262,0.0,0.2447778209575744,0.04450505835592262,0.2447778209575744,0.2447778209575744,0.22252529177961308,0.2447778209575744,0.3782929960253423,0.6898284045168006,0.645323346160878,2.403273151219821,0.7788385212286458,0.7788385212286458,-0.04450505835592262,2.2920105053300146,1.6466871591691368,2.1362428010842858,1.2016365756099106,-1.8914649801267114,4.851051360795565,-0.20027276260165178,1.4019093382115624,2.648050972177396,3.760677431075461,-0.04450505835592262,1.2016365756099106,1.1793840464319494,1.3351517506776784,1.4241618673895238,3.5604046684738093,-1.4686669257454463,2.9373338514908927,0.2670303501355357,0.44505058355922616,2.670303501355357,1.9804750968385565,1.2238891047878722,1.4241618673895238,1.2016365756099106,2.225252917796131
AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22703506284103503,0.0,0.11351753142051751,0.0,0.6811051885231051,0.5675876571025876,0.45407012568207006,0.34055259426155254,0.9081402513641401,1.3622103770462102,1.5892454398872453,2.7244207540924203,2.837938285512938,2.837938285512938,5.562359039605359,7.265122010913121,6.243464228128463,22.703506284103504,17.141147244498146,23.271093941206093,17.70873490160073,36.21209252314509,34.62284708325784,41.4338989684889,42.56907428269407,48.13143332229943,86.27332387959332,100.69005036999904,91.04106019925506,34.395812020416805,136.1075201732005,71.06197466924397,68.56458897799259,27.811795198026793,73.89991295475691,9.421955107902953,19.525015404329015,10.55713042210813,12.713963519097963,-27.92531272944731,-27.130690009503684,-26.67661988382162,-29.968628295016625,-21.90888356415988,-50.85585407639185,-60.95891437281791,-34.84988214609888,-29.174005575073,-31.55787373490387,-13.73562130188262,-41.32038143706838,-86.8409115366959,-70.38086948072086,-50.62881901355082,-24.74682184967282,0.0
AU,0.0,0.0,0.0,0.0,0.16318671007433155,0.04079667751858289,0.0,0.04079667751858289,0.04079667751858289,0.0,0.12239003255574865,0.0,0.0,0.04079667751858289,0.0,0.04079667751858289,0.04079667751858289,0.0,0.0,0.0,0.0,0.0,-0.2447800651114973,0.0,0.0,0.0,-0.08159335503716578,0.0,0.0,0.0,-0.04079667751858289,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4079667751858289,0.04079667751858289,0.12239003255574865,0.36717009766724595,0.4895601302229946,-0.2855767426300802,0.20398338759291446,0.12239003255574865,0.4895601302229946,0.6119501627787434,0.6527468402973262,0.8567302278902406,0.0,2.8557674263008024,2.0398338759291446,1.9174438433733958,3.2637342014866313,2.978157458856551,4.691617914637032,4.487634527044118,4.446837849525535,11.42306970520321,16.971417847730482,5.425958109971524,13.626090291206683,12.891750095872192,15.82911087721016,12.687766708279279,18.195318173287966,13.952463711355346,14.809193939245588,3.916481041783957,9.668812571904144,6.201094982824599,3.3045308790052137,6.77224846808476,3.1005474914122995,-8.89367569905107,3.7940910092282087,4.487634527044118,-12.035019867981951,-8.852879021532486,2.9373607813379676,0.36717009766724595,1.4278837131504012,-12.932546773390776,0.9791202604459892,-5.997111595231684,-56.95216181594171,-11.912629835426204,0.0,0.0
